epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,1.4591726040132944,0.5176472287207925,0.46443872608288667,1.474614703133442,0.599441210710128,0.5198205461195131
2,1.3385446212342882,0.5762354504231292,0.5314203171606932,1.4518511872463649,0.6181606519208381,0.5291668382996242
3,1.2957331742494727,0.5931750570430061,0.5523011694441254,1.4335719786450805,0.630128055878929,0.5454010832928862
4,1.270567218555589,0.6040348901019553,0.5661822170619769,1.4374881890822067,0.629802095459837,0.5521004178455494
5,1.2541069420702766,0.6119053808162205,0.5777649970777324,1.434636927483662,0.6310593713620489,0.5478939442870316
6,1.23593141228805,0.6173064148109638,0.5842871267294286,1.4190222368973098,0.6345983701979045,0.555132029266526
7,1.2196459144046572,0.6248303151084539,0.5956473642437895,1.4034988303234468,0.639720605355064,0.560561139564791
8,1.2057230563289498,0.6300147300927129,0.6033220880476581,1.3932983311785252,0.6459604190919674,0.5603236272833273
9,1.194457357864847,0.6340294024203564,0.6080160071362072,1.437411294011215,0.6306868451688009,0.5648881505015473
10,1.1812175728159677,0.6412500361031684,0.6155694309004941,1.402326792421663,0.650151338766007,0.5597049942922088
11,1.1705338135131416,0.6428963405828495,0.6198545801091032,1.4161363513117202,0.6475436554132712,0.5671498277979191
12,1.1554497419381318,0.6512867169222771,0.629930394000942,1.3971197594141933,0.6535506402793947,0.5688341736474368
13,1.1449306128470795,0.6550414464373393,0.6356720375386699,1.4464654564302375,0.64,0.5745901070450975
14,1.1308533970585173,0.6601825376195015,0.6435632921256541,1.439956519401115,0.6368335273573923,0.5680608994305768
15,1.1150109158318904,0.6675042601738729,0.6512885191419532,1.4388455247601475,0.6325494761350408,0.5661694481793422
16,1.0977260855445656,0.6748115414608786,0.6622711588031434,1.4305246131495075,0.6437252619324796,0.572210484328543
17,1.085312434076433,0.680097045316697,0.668942320564538,1.4601767092339513,0.6353434225844005,0.5674849411200636
