epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,1.0162732828683603,0.591297692285475,0.5224232381520107,0.9188578183034801,0.6392549476135041,0.5466646918698216
2,0.9098116629211073,0.6277763336510412,0.5713998060122714,0.8926994280522306,0.6455413271245635,0.5478479315142083
3,0.857375237759466,0.6507668312971147,0.5996966032769329,0.8805568306229583,0.6471711292200233,0.5581612781344333
4,0.7965301288027072,0.6717066689772695,0.6232782916206013,0.9325640108896912,0.6422817229336437,0.5620076437212144
5,0.718011207527612,0.7022788319902955,0.655492956272707,0.9958862080077214,0.6422817229336437,0.5643500559152235
