epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.19862021350808606,0.5057331831441527,0.4091808940541451,0.17100401214136374,0.5960419091967404,0.45888482384400797
2,0.17623448178903334,0.5589492533864772,0.45246989086059386,0.16228134516787057,0.5989289871944121,0.46085344748262685
3,0.1698143311696842,0.5689281691361234,0.45989687050698164,0.15952769089112875,0.6017229336437718,0.4626815882783197
4,0.16571901676754527,0.5770152788608728,0.4727152792464337,0.15969938741435272,0.5922235157159488,0.4629457519916759
5,0.1622713587021933,0.5800623862750195,0.4767001789413164,0.15188019947206322,0.6018626309662398,0.4607897614524391
6,0.1600232027173886,0.5855500678739566,0.4851509890621909,0.15704626736735297,0.6152735739231665,0.47344196462048077
7,0.156896322242578,0.5898968893510095,0.48935724397595154,0.15715296358182348,0.5964144353899884,0.45310043212748985
8,0.1549410838388995,0.592409669872628,0.4930927552100319,0.14952885486055448,0.6088474970896391,0.44666337414966684
9,0.15262998353815904,0.5965687548739277,0.49788127635085255,0.1544314243761569,0.6056344586728755,0.4491371448138457
10,0.1515746107759376,0.5972186119053808,0.49724645326311806,0.1485152506002586,0.6131781140861466,0.470556261990823
11,0.15052244021291697,0.5979839990757589,0.4984168860801102,0.1530433954959421,0.610756693830035,0.45773371210803193
12,0.14849650158264938,0.600857811281518,0.5052151813821437,0.1523609307120371,0.61918509895227,0.48036979506907346
13,0.1476257251279109,0.6034427981399647,0.5087434052948676,0.15106573522854183,0.6174621653084983,0.4757031457129869
14,0.14600638826345547,0.6061144326026052,0.5098074218904335,0.15087649436435543,0.6109895227008149,0.4771958903528463
15,0.14376209077215193,0.6081795338358894,0.5140272483449614,0.1550535860244831,0.6152735739231665,0.4824250937789078
16,0.14297353730750065,0.6070675562487364,0.5120445588352845,0.15446097079477988,0.6131781140861466,0.46402246697671234
17,0.14107104578743437,0.6109378159027237,0.5181598013805372,0.1555128166284217,0.6160186263096624,0.47507751407111887
18,0.13916380415651933,0.6134794789590734,0.522061187934952,0.1546943113884354,0.6155064027939464,0.48205066265525576
19,0.13763156383338768,0.6152557548450452,0.5235158968168434,0.15900874905799958,0.6170430733410943,0.4815737987446184
20,0.13553074191634584,0.6178696242382231,0.5274370895544797,0.15694339746819663,0.6108032596041909,0.47459027573424234
21,0.1349270740966207,0.6179707131097825,0.5238937244908148,0.15842484862340897,0.6152735739231665,0.5001606620667808
22,0.13247500602662163,0.6221297981110823,0.5311854023528627,0.16796218633166016,0.6143888242142026,0.48429414042006413
23,0.1307758814138112,0.6249747277821102,0.533616948965293,0.16177062696849925,0.6154598370197905,0.487307029975855
24,0.12867036591031208,0.6256534673482945,0.537270262464217,0.1696564687054704,0.6157857974388824,0.4925827845652942
25,0.1275475556222659,0.6266354735291569,0.5363108428168876,0.16543601372674957,0.6107101280558789,0.4909997048159838
26,0.12468882587537695,0.6309967362735753,0.5433857482009319,0.16507817860046559,0.6187194412107101,0.4969481958585463
27,0.12391943423387286,0.6325130693469659,0.5422952241529904,0.17350883999997718,0.6121536670547147,0.4735538894873224
